"ID","COUNTRY","AFRADMIN2Code","AFRAdminname","AREATYPE","Lat","Long","MM","YY","LoAge","UpAge","Ex","Pf","PfPR2.10","METHOD","Time","Microscopy","Rainy","utm_x","utm_y","Prev"
43958,"Tanzania","TZA019","Dodoma","Point",-6.249205,35.822029,10,2015,0.833333333333333,4.91666666666667,9,0,0,"RDT",178,0,1,812.217855117107,9308.13683193256,0
43959,"Tanzania","TZA019","Dodoma","Point",-6.212701,35.757304,10,2015,0.583333333333333,4.91666666666667,17,0,0,"RDT",178,0,1,805.069965263661,9312.21513785306,0
43960,"Tanzania","TZA019","Dodoma","Point",-6.075857,35.520361,10,2015,0.833333333333333,4.66666666666667,9,0,0,"RDT",178,0,1,778.898629256874,9327.48910912699,0
43961,"Tanzania","TZA019","Dodoma","Point",-5.06162,35.73754,5,2015,5,16,55,0,0,"RDT",173,0,0,803.479425534294,9439.62413069617,0
43962,"Tanzania","TZA019","Dodoma","Point",-5.35993,36.24129,5,2015,5,16,77,2,2.74551605827693,"RDT",173,0,0,859.229812498997,9406.33578944757,0.025974025974026
43963,"Tanzania","TZA019","Dodoma","Point",-5.08955,35.89342,5,2015,5,16,115,1,0.918691911808059,"RDT",173,0,0,820.76685469167,9436.45746459997,0.00869565217391304
43964,"Tanzania","TZA019","Dodoma","Point",-5.06042,35.68032,5,2015,5,16,117,3,2.70327734968807,"RDT",173,0,0,797.129642053472,9439.78345628235,0.0256410256410256
43973,"Tanzania","TZA019","Dodoma","Point",-5.06167,35.89367,5,2015,5,16,116,0,0,"RDT",173,0,0,820.808410127078,9439.5433676029,0
43974,"Tanzania","TZA019","Dodoma","Point",-4.71033,36.06517,5,2015,5,16,27,1,3.90708054447105,"RDT",173,0,0,840.023566150286,9478.35145653194,0.037037037037037
43977,"Tanzania","TZA019","Dodoma","Point",-4.60022,35.80404,5,2015,5,16,110,0,0,"RDT",173,0,0,811.070787705824,9490.66058922537,0
43978,"Tanzania","TZA019","Dodoma","Point",-5.06249,35.80289,5,2015,5,16,55,0,0,"RDT",173,0,0,810.731985033127,9439.49686010649,0
43980,"Tanzania","TZA019","Dodoma","Point",-5.38614,35.9147,5,2015,5,16,59,0,0,"RDT",173,0,0,822.976151150616,9403.6166593262,0
43981,"Tanzania","TZA019","Dodoma","Point",-4.49326,35.73187,5,2015,5,16,120,0,0,"RDT",173,0,0,803.100253140698,9502.52928498957,0
43982,"Tanzania","TZA019","Dodoma","Point",-4.726384,35.912846,11,2015,0.833333333333333,4.91666666666667,18,0,0,"RDT",179,0,0,823.098117578775,9476.64700720642,0
43983,"Tanzania","TZA019","Dodoma","Point",-4.903511,35.770286,11,2015,0.833333333333333,4.91666666666667,13,0,0,"RDT",179,0,0,807.18732223974,9457.10784510892,0
43984,"Tanzania","TZA019","Dodoma","Point",-4.616079,35.799732,11,2015,0.916666666666667,3.75,6,0,0,"RDT",179,0,0,810.585419652304,9488.90720083546,0
43985,"Tanzania","TZA019","Dodoma","Point",-5.086653,35.159451,12,2015,0.583333333333333,4.08333333333333,12,0,0,"RDT",180,0,0,739.326044867014,9437.09689972159,0
43986,"Tanzania","TZA019","Dodoma","Point",-5.218571,36.162738,11,2015,1.08333333333333,3.83333333333333,6,0,0,"RDT",179,0,0,850.592092650682,9422.03226936079,0
43992,"Tanzania","TZA019","Dodoma","Point",-6.02625,36.70624,5,2015,5,16,79,0,0,"RDT",173,0,0,910.368372435127,9332.22761498839,0
43993,"Tanzania","TZA019","Dodoma","Point",-6.02766,36.70775,5,2015,5,16,116,3,2.73495638112973,"RDT",173,0,0,910.534778214717,9332.07027336597,0.0258620689655172
43994,"Tanzania","TZA019","Dodoma","Point",-6.17039,36.33134,5,2015,5,16,129,0,0,"RDT",173,0,0,868.699138598729,9316.53436496134,0
43995,"Tanzania","TZA019","Dodoma","Point",-5.84034,36.36521,5,2015,5,16,78,3,4.06547570167934,"RDT",173,0,0,872.678059654787,9353.06089143642,0.0384615384615385
43997,"Tanzania","TZA019","Dodoma","Point",-5.95611,36.35576,5,2015,5,16,118,0,0,"RDT",173,0,0,871.552740319427,9340.24679819609,0
43998,"Tanzania","TZA019","Dodoma","Point",-6.29743,36.68441,5,2015,5,16,148,6,4.27666924462373,"RDT",173,0,0,907.739583976093,9302.20298251295,0.0405405405405405
43999,"Tanzania","TZA019","Dodoma","Point",-5.67122,36.401884,11,2015,0.75,4.83333333333333,13,0,0,"RDT",179,0,0,876.857126194947,9371.7655604383,0
44000,"Tanzania","TZA019","Dodoma","Point",-6.354236,36.678791,11,2015,0.833333333333333,4.75,5,0,0,"RDT",179,0,0,907.072137142006,9295.91448405874,0
44001,"Tanzania","TZA019","Dodoma","Point",-5.69007,36.41206,5,2015,5,16,85,0,0,"RDT",173,0,0,877.973742154696,9369.67135924587,0
44002,"Tanzania","TZA019","Dodoma","Point",-6.51703,36.0243,5,2015,5,16,102,5,5.17424180213728,"RDT",173,0,0,834.449975068969,9278.36236959215,0.0490196078431373
44028,"Tanzania","TZA019","Dodoma","Point",-6.27275,36.37833,5,2015,5,16,100,24,25.3432251533257,"RDT",173,0,0,873.834746185484,9305.16585517364,0.24
44039,"Tanzania","TZA019","Dodoma","Point",-6.692595,36.160461,11,2015,0.583333333333333,4.66666666666667,20,0,0,"RDT",179,0,0,849.403968739851,9258.8311951224,0
44040,"Tanzania","TZA019","Dodoma","Point",-6.498862,36.189566,11,2015,0.666666666666667,4.75,15,0,0,"RDT",179,0,0,852.763313133438,9280.26120548593,0
44041,"Tanzania","TZA019","Dodoma","Point",-6.243803,36.220815,12,2015,0.833333333333333,4.75,17,0,0,"RDT",180,0,0,856.400530607114,9308.48103448904,0
44053,"Tanzania","TZA018","Iringa","Point",-7.40135,35.91954,5,2015,5,16,57,0,0,"RDT",173,0,0,822.245743740652,9180.53856298693,0
44087,"Tanzania","TZA018","Iringa","Point",-7.86452,35.55394,5,2015,5,16,114,0,0,"RDT",173,0,0,781.546551232828,9129.52963591153,0
44103,"Tanzania","TZA018","Iringa","Point",-7.47634,35.47634,5,2015,5,16,55,0,0,"RDT",173,0,0,773.231273524678,9172.53752344242,0
44111,"Tanzania","TZA018","Iringa","Point",-8.029692,35.30082,12,2015,1.16666666666667,4.66666666666667,10,0,0,"RDT",180,0,0,753.514428563721,9111.4156679005,0
44119,"Tanzania","TZA018","Iringa","Point",-7.77352,35.70507,5,2015,5,16,69,0,0,"RDT",173,0,0,798.290285667643,9139.49676127895,0
44120,"Tanzania","TZA018","Iringa","Point",-7.72468,35.64208,5,2015,5,16,68,0,0,"RDT",173,0,0,791.370491498196,9144.94607368,0
44128,"Tanzania","TZA018","Iringa","Point",-7.74004,35.70911,5,2015,5,16,111,0,0,"RDT",173,0,0,798.75994529077,9143.19951258848,0
44129,"Tanzania","TZA018","Iringa","Point",-7.747101,35.711098,9,2015,0.666666666666667,4.83333333333333,11,0,0,"RDT",177,0,1,798.974435450644,9142.41659250309,0
44130,"Tanzania","TZA018","Iringa","Point",-7.785327,35.700875,9,2015,0.5,4.91666666666667,30,0,0,"RDT",177,0,1,797.818843169959,9138.19291479655,0
44149,"Tanzania","TZA018","Iringa","Point",-7.35318,36.28377,5,2015,5,16,77,6,8.22598849768364,"RDT",173,0,0,862.541811688868,9185.59161899077,0.0779220779220779
44154,"Tanzania","TZA018","Iringa","Point",-7.5508,35.9473,5,2015,5,16,120,2,1.76346608358557,"RDT",173,0,0,825.202598969021,9163.97386751342,0.0166666666666667
44164,"Tanzania","TZA018","Iringa","Point",-10.09245,34.5431,5,2015,5,16,55,10,19.1974930536442,"RDT",173,0,0,668.99561750497,8883.65229665034,0.181818181818182
44166,"Tanzania","TZA018","Iringa","Point",-9.781039,34.515676,11,2015,1.16666666666667,4.08333333333333,14,0,0,"RDT",179,0,0,666.146858427267,8918.11168177409,0
44167,"Tanzania","TZA018","Iringa","Point",-9.8031,34.59013,11,2015,1.25,4.58333333333333,8,0,0,"RDT",179,0,0,674.304422326892,8915.63380811454,0
44168,"Tanzania","TZA018","Iringa","Point",-9.905375,35.102767,11,2015,0.583333333333333,4.91666666666667,16,0,0,"RDT",179,0,0,730.484358226334,8904.00885261087,0
44169,"Tanzania","TZA018","Iringa","Point",-9.842774,34.386516,11,2015,0.5,4.91666666666667,12,1,8.69908934744142,"RDT",179,0,0,651.947883683572,8911.34456192887,0.0833333333333333
44181,"Tanzania","TZA018","Iringa","Point",-8.94665,33.89421,5,2015,5,16,106,0,0,"RDT",173,0,0,598.203176249061,9010.62465249486,0
44188,"Tanzania","TZA018","Iringa","Point",-9.31261,34.17528,5,2015,5,16,76,0,0,"RDT",173,0,0,628.978146675017,8970.06592496878,0
44193,"Tanzania","TZA018","Iringa","Point",-9.40945,34.232606,11,2015,0.666666666666667,4,7,0,0,"RDT",179,0,0,635.238190591346,8959.3345230529,0
44194,"Tanzania","TZA018","Iringa","Point",-9.138061,34.002296,11,2015,0.583333333333333,4.91666666666667,11,0,0,"RDT",179,0,0,610.029899952883,8989.42697267265,0
44195,"Tanzania","TZA018","Iringa","Point",-9.028843,34.011148,11,2015,1.83333333333333,3.75,5,0,0,"RDT",179,0,0,611.036415667592,9001.5021255319,0
44211,"Tanzania","TZA018","Iringa","Point",-8.58661,34.85558,5,2015,5,16,105,0,0,"RDT",173,0,0,704.126886165753,9050.0583469551,0
44212,"Tanzania","TZA018","Iringa","Point",-8.65337,35.32355,5,2015,5,16,64,1,1.64730963496617,"RDT",173,0,0,755.614999092708,9042.39031449757,0.015625
44216,"Tanzania","TZA018","Iringa","Point",-8.30261,35.28425,5,2015,5,16,64,0,0,"RDT",173,0,0,751.515758681647,9081.2279965386,0
44220,"Tanzania","TZA018","Iringa","Point",-8.749135,35.225801,12,2015,0.666666666666667,4,7,0,0,"RDT",180,0,0,744.789162704802,9031.85860364208,0
44221,"Tanzania","TZA018","Iringa","Point",-8.588167,35.151123,12,2015,0.583333333333333,4.91666666666667,11,0,0,"RDT",180,0,0,736.669503274047,9049.71606349421,0
44222,"Tanzania","TZA018","Iringa","Point",-8.685917,34.927271,12,2015,1.41666666666667,4.66666666666667,12,0,0,"RDT",180,0,0,711.96506727744,9039.03347313277,0
44223,"Tanzania","TZA018","Iringa","Point",-8.297536,35.021865,12,2015,0.5,4.91666666666667,12,0,0,"RDT",180,0,0,722.602388738322,9081.9463697449,0
44224,"Tanzania","TZA018","Iringa","Point",-8.248201,35.460093,12,2015,1,4.83333333333333,18,0,0,"RDT",180,0,0,770.934659689313,9087.13304334022,0
44225,"Tanzania","TZA018","Iringa","Point",-8.342775,35.818185,12,2015,2.5,3.58333333333333,3,0,0,"RDT",180,0,0,810.342927482605,9076.40317040683,0
